rank,gene,variance_log2,mean_log2
281,HEPACAM2,7.459106360675442,3.8557298021818633
282,MARCO,7.442808611516088,4.1680898129627115
283,ATRNL1,7.433703860802752,5.010487647854937
284,PCSK1N,7.419686356918437,3.8306370140863835
285,GPR26,7.419430230424028,2.4602046375428523
286,PAX7,7.412182703377944,1.8129346859950575
287,MMP12,7.408829487496826,4.469251910049231
288,PSCA,7.3986273532605304,5.1932153988595715
289,ANXA8L2,7.394074189835493,4.59787023992449
290,DSG1,7.3926547296539935,2.8239175007358415
291,CST4,7.391543985782786,3.7617399499821746
292,TF,7.381237794907674,5.963960389170946
293,RGS22,7.363594656734053,4.865123979098308
294,AKR7A3,7.359451727912604,7.710702385723501
295,GABRB3,7.3500603101436175,4.615682816804323
296,HOXC11,7.340754468862932,5.7829030431943895
297,GJB1,7.337352026673755,4.145383663597472
298,C2CD4A,7.334175028108144,4.05864912801244
299,ONECUT2,7.328537293974038,4.008429079679043
300,C1orf173,7.319548115537585,3.8535116146877413
301,PRODH,7.311363090004695,6.591739034394881
302,KRT6C,7.302662854349038,3.0687530710518054
303,LOC100271831,7.301089969580676,2.7205273143091935
304,SLC13A2,7.292747806805153,4.1939515004754355
305,RBM24,7.278190778924342,5.596881526950301
306,KRT23,7.26651784686959,8.430419123607404
307,FOXA1,7.247669206253385,11.625952962051604
308,GRIK3,7.227453158695282,7.178053852657065
309,KRT4,7.223875346476476,1.9699627242067803
310,TRPV6,7.219486571077644,6.191524674059892
311,C3orf57,7.200484646255462,7.181136809061339
312,SAA2,7.196052490485419,5.93243399925388
313,UGT2B15,7.192615752839689,3.7275199884649366
314,ARHGAP36,7.188579906586903,1.9843765702904508
315,C19orf33,7.188009509706191,7.161774991476051
316,TMPRSS3,7.187842776893004,8.15008323312071
317,IGJ,7.1674120470354765,10.056428635908373
318,THRSP,7.15679139999453,6.055676368885158
319,DARC,7.135821611064391,7.289366711785411
320,PPP1R14C,7.123540397195605,4.98849816430365
321,FUT3,7.12048133197805,4.849891236887707
322,KRT13,7.112717660984567,2.047281549933671
323,SHISA9,7.097416569087454,5.909832856969647
324,SAA1,7.090625429830854,7.722464578066474
325,POF1B,7.073925411747716,5.653963364615273
326,VSIG2,7.071066319270103,4.263502994603307
327,TPSG1,7.063857886383156,3.251064650919262
328,PLIN4,7.030366037387186,8.126090548061832
329,HBA1,7.016851814610953,2.960470627806604
330,SLC26A3,7.015792190265402,2.7260555438739584
331,PRSS21,7.009703634045264,3.4497108816938957
332,VIPR2,7.004998959455449,4.349339599670821
333,SLC28A3,6.966886287989267,3.8282645523729206
334,TTYH1,6.964340059723233,4.72322039258726
335,MMP13,6.952668327989217,7.548356756292479
336,AR,6.950119771840849,8.035808079063699
337,TDRD1,6.940088478142177,2.6761535743394234
338,AREG,6.939779121967392,7.3076323171189514
339,PLCH1,6.932393290341706,6.238569034321787
340,TFPI2,6.928868354091043,5.4471143569428335
341,DKK1,6.920914811793524,4.2710420750931135
342,S100A2,6.903564544047048,5.595792888459401
343,CCNO,6.8905294040763705,6.154505889703401
344,DLX2,6.881544365004084,3.344515133398251
345,AFF3,6.87063874456096,9.942989752985211
346,SPAG17,6.85570598112025,4.243718120283929
347,SBSN,6.8486321437230755,2.230278879946827
348,AKR1B10,6.842792152397688,2.7663925916273655
349,PI15,6.82065598162976,7.237011016827738
350,ATP13A4,6.8178469799518195,4.685636383745474
351,SYNPO2L,6.809857676938055,3.188365475061263
352,PCDHA11,6.804548418392062,4.688241901124296
353,HSD17B2,6.801684311457017,3.572274245042647
354,CXADRP3,6.796571879564357,3.054108481683856
355,ZNF385B,6.781404253572985,5.2147012677240365
356,NPY5R,6.767345045248566,2.7228001059537137
357,ANKRD43,6.767036583441164,5.665017528698736
358,F7,6.7534247271017405,5.54298498982949
359,NTNG1,6.746655404925551,3.1315658400494644
360,FAM83E,6.734234884512822,5.929709460747084
361,NELL2,6.7327128366062805,7.738098369135318
362,PCDHA12,6.7115986282113305,4.268541129510751
363,DCX,6.7022995589512036,3.09015118621096
364,CACNG4,6.693513110370758,9.661453881948686
365,DCDC2,6.676656061524672,5.70704505861844
366,MYT1,6.654950751462676,3.6688142590814725
367,EPYC,6.652490978803969,4.32699432399554
368,IYD,6.641412403298059,3.6577336141541896
369,CHI3L2,6.635204254614386,7.608403716466055
370,PCDH10,6.628403449071698,3.0622937629095888
371,ADCY5,6.624246618591846,5.825563049424358
372,MAPK4,6.617754075316058,3.132151185656841
373,TSIX,6.612054044408074,6.056560716033103
374,FAM83A,6.611141198925903,4.3866803927679365
375,EDN3,6.609112285799144,2.6595072451901673
376,PHGR1,6.601280152706872,2.3563738046098903
377,HPX,6.597588160752946,6.823884450816809
378,GPC1-AS1,6.59511058476068,5.048866344768668
379,SHISA2,6.581007831250181,7.898042306344853
380,PCK1,6.580069593239293,3.253269368592378
381,CD177,6.572687084601604,3.5523674346023033
382,WT1,6.571152698460557,4.03604921280125
383,KCNG1,6.57037649147745,4.145716628470776
384,SOX2,6.558654018004488,2.49668468033621
385,RIMS2,6.551610852587907,3.157959099147818
386,CYP4F11,6.546725606227338,5.505168610800548
387,TLX1,6.546595778744407,2.1685274450944774
388,MMP7,6.545499704449524,8.764810498530707
389,COL11A1,6.536593679947233,10.6409852662677
390,MIR205HG,6.51982771175383,6.5282051971738415
391,GLYATL1,6.518643638148066,5.42627670372718
392,S100A1,6.514417461819472,8.500827615464942
393,FGG,6.509856396849931,1.4979493157647035
394,TTC36,6.501122072158477,4.597500716681982
395,NEURL,6.499336897460493,6.362628560984348
396,CNTFR,6.493403045299723,4.844397884393533
397,CHGA,6.487400190097724,1.5491436106383394
398,TOX3,6.478572690757113,7.903174242059648
399,GABBR2,6.472953679650888,2.060652561558267
400,PPP1R1A,6.4676520284349985,6.001897615480663
401,TBC1D3G,6.456097212960436,2.204808675984138
402,PART1,6.450463722792738,4.11102255644561
403,RET,6.4470580096867565,8.794537047039906
404,ZFP57,6.4430008298016,2.7145576855844094
405,SCRG1,6.434399248192634,2.6532222409296065
406,SLC15A1,6.4290262839555465,2.1597454114994505
407,LGR6,6.419258186989855,5.650411244735172
408,SEZ6L,6.4121491246432205,3.002499595382516
409,PLA2G2D,6.407024719429724,4.677700180781868
410,HOXC10,6.404681770520113,8.38170103276987
411,MKX,6.401395340150273,4.572759601554774
412,TUBA3E,6.399963382001246,3.7047437217586587
413,CHRDL1,6.39373387493059,6.806579325510374
414,SMOC1,6.387672218569424,5.240612953474941
415,KCNF1,6.377793557448557,5.315766861804723
416,RHCG,6.374624032195995,2.478914770540593
417,MS4A8B,6.370133037272569,2.5643494566626495
418,UGT2B28,6.366682088584361,1.618705808866558
419,MKRN3,6.365928261542747,2.8281834318452628
420,CRYM,6.365408116018515,3.471223088829001
421,CXCL14,6.363870631417733,10.704627928147477
422,HRASLS5,6.3610034971820495,6.23579747140984
423,BCL11A,6.347234260460928,5.394238187323235
424,SLC6A11,6.336349457017546,2.89753876989732
425,MAPT,6.316875580055492,10.049502769331712
426,TSPAN1,6.309155165247923,9.492595010629628
427,PLA2G3,6.308996367779131,2.50771774519861
428,FBN3,6.2983454313858855,2.8726450775909598
429,SLC6A15,6.275742541197646,2.0670794218368087
430,DOK7,6.2664668969927595,5.991943564481675
